Time(sec),rx(m),ry(m),rz(m),vx(m/s),vy(m/s),vz(m/s)
5100.0,-3178972.531525788,2384392.9930298864,-5911361.338433526,-4030.3269836636114,4767.378058489054,4156.661137816541
5200.0,-3563758.7038745023,2847124.3303126777,-5463869.8962096665,-3658.1756672568577,4478.631311853336,4785.202650172261
5300.0,-3909229.602103298,3278445.587124611,-4956035.462258912,-3244.724578281816,4139.72441889341,5362.348674450542
5400.0,-4211474.916826533,3673515.45994294,-4393340.392850889,-2794.4507490457054,3754.252014659064,5881.33918984289
5500.0,-4467056.35215372,4027881.6610575533,-3781912.5796653503,-2312.308890091269,3326.393369193268,6336.039299960039
5600.0,-4673052.68220508,4337537.285972416,-3128458.3010843485,-1803.6756766495082,2860.8687635951674,6721.030813147163
5700.0,-4827098.799809975,4598972.31207537,-2440186.297363241,-1274.2854183464337,2362.885797950864,7031.69580278603
5800.0,-4927417.934412398,4809219.244529239,-1724723.9864535974,-730.1579381786984,1838.0761412002403,7264.289853043408
5900.0,-4972846.315559289,4965891.9940856835,-990026.964946458,-177.51983183820084,1292.423600312649,7416.002750862825
6000.0,-4962849.694342739,5067217.180093058,-244283.15279667347,377.2793457356364,732.1848052160831,7485.004615497927
6100.0,-4897531.306378869,5112057.201430188,504186.8793216543,927.8541078980779,163.80418760482053,7470.475902329617
6200.0,-4777631.055716295,5099924.6001458755,1247031.73323661,1467.8712449713596,-406.17480638319773,7372.620297190071
6300.0,-4604515.905432159,5030987.444234166,1975971.4219679185,1991.1371373410493,-971.200194396409,7192.66011556734
6400.0,-4380161.6669979,4906065.666627337,2682898.2791369157,2491.682133968378,-1524.8015003937412,6932.8143977418
6500.0,-4107126.579750198,4726618.509860323,3359974.8425222025,2963.840064205181,-2060.67725515028,6596.260475540632
6600.0,-3788517.2553933924,4494723.430936799,3999727.12237859,3402.3211640808818,-2572.777982592789,6187.080373411379
6700.0,-3427947.7184042786,4213047.005371991,4595131.827426219,3802.2770347321734,-3055.3829773584557,5710.193901200381
6800.0,-3029492.3915310074,3884808.52068363,5139696.3238843605,4159.356651404876,-3503.1695494248406,5171.280594221927
6900.0,-2597633.954666671,3513737.063490376,5627530.324936976,4469.752812062258,-3911.2737737957245,4576.692760357514
7000.0,-2137207.050884896,3104022.985089801,6053408.535075391,4730.238717200632,-4275.342083980341,3933.3619105736616
7100.0,-1653338.830349503,2660264.6826340775,6412823.70197347,4938.194652816215,-4591.573328769478,3248.7008595841876
7200.0,-1151387.3103432858,2187411.6551924907,6702029.756127923,5091.625059477739,-4856.751239210321,2530.5037437394913
7300.0,-636878.4853445766,1690704.7811623458,6918074.934860737,5189.166583861405,-5068.267613983282,1786.846003420757
7400.0,-115443.04936907277,1175614.71701727,7058824.973983242,5230.087926784853,-5224.136822964799,1025.9859929252775
7500.0,407246.4927815493,647779.2495007694,7122976.594281953,5214.282359070427,-5323.002357520389,256.2694376133635
7600.0,925537.6334466835,112940.36054055218,7110061.61393586,5142.253718101915,-5364.13613945158,-513.962374988214
7700.0,1433857.9751112142,-423118.30431771895,7020442.097007447,5015.096636373826,-5347.4312506378055,-1276.459954447263
7800.0,1926773.1091255741,-954632.939227556,6855297.014305834,4834.471755573287,-5273.388754547743,-2023.1479120866506
7900.0,2399041.7976324,-1475919.4981364287,6616600.945220841,4602.57670602727,-5143.099334061397,-2746.2017873031114
8000.0,2845668.0729839457,-1981431.5501910024,6307095.378554093,4322.113590711453,-4958.220476120485,-3438.119237591252
8100.0,3261949.936410907,-2465815.65786819,5930253.173537623,3996.253569946201,-4720.949833055294,-4091.7856699892545
8200.0,3643524.3880601693,-2923963.9199836086,5490236.728666377,3628.598959758172,-4433.995221973424,-4700.534478632198
8300.0,3986408.5547994217,-3351063.360316101,4991850.391758276,3223.143132193918,-4100.541584696011,-5258.201990477919
8400.0,4287036.708989686,-3742641.8716156227,4440487.639730743,2784.228479856807,-3724.215181293159,-5759.177120132128
8500.0,4542292.998839367,-4094610.452508854,3842073.5588380457,2316.502732459666,-3309.0453037125826,-6198.445703300527
8600.0,4749539.740199866,-4403301.504011765,3203003.1572257746,1824.8739140699413,-2859.4238003661076,-6571.6295248058195
8700.0,4906641.146307019,-4665502.979638466,2530076.0373919713,1314.4641784048974,-2380.062659092752,-6875.020103111663
8800.0,5011982.39233965,-4878488.204567927,1830427.9504547701,790.5626951025246,-1875.9498317498417,-7105.607270185186
8900.0,5064483.927350453,-5040041.195668903,1111459.7540690512,258.57773736833644,-1352.3034526987549,-7261.102504551441
9000.0,5063610.962400614,-5148477.330159973,380764.30389991717,-276.01184704437105,-814.5246259418373,-7339.956906029618
9100.0,5009378.084416258,-5202659.230454842,-353948.17935109243,-807.7055510336435,-268.1490015713374,-7341.373692585895
9200.0,4902348.969810678,-5202007.756418027,-1084925.7151167865,-1331.0302552467792,281.20261082532556,-7265.315137138903
9300.0,4743631.19722887,-5146508.021107491,-1804450.5816522597,-1840.5891579903998,827.8743455669153,-7112.503893397482
9400.0,4534866.183270384,-5036710.370399095,-2504915.1847142265,-2331.110344624775,1366.2258587484253,-6884.418660749645
9500.0,4278214.2899363935,-4873726.291777091,-3178897.2074005436,-2797.494738828875,1890.6831216073974,-6583.284134983352
9600.0,3976335.179412222,-4659219.244819082,-3819233.468114427,-3234.863157660513,2395.789144656018,-6212.055220339789
9700.0,3632363.5197002785,-4395390.434775066,-4419091.91383915,-3638.6021960999005,2876.254346019828,-5774.3955325099905
9800.0,3249880.170501405,-4084959.5778109566,-4972041.180767859,-4004.4087009330497,3327.006311639738,-5274.650251561925
9900.0,2832879.000954608,-3731140.7295887126,-5472117.159069976,-4328.332625639482,3743.238734334261,-4717.813350006437
