Time(sec),rx(m),ry(m),rz(m),vx(m/s),vy(m/s),vz(m/s)
0.0,-4944559.17407762,5091026.32253509,14967.568398633,568.983806254046,535.694647212606,7489.45082782167
100.0,-4860225.907914777,5116139.814928393,762437.5229030191,1116.0863300267051,-33.860236899173856,7446.07410692675
200.0,-4721765.046636279,5084275.736089246,1501416.9818980102,1650.504575963785,-602.7693326795031,7319.816154324669
300.0,-4530751.549878864,4995824.493732438,2223686.993454484,2166.1421194563595,-1164.5266144038135,7112.225098840701
400.0,-4289358.430452044,4851822.502305331,2921232.388541846,2657.14731332164,-1712.732162336609,6825.823002006042
500.0,-4000328.459270828,4653937.361485871,3586337.289156019,3117.9887412719554,-2241.1758200768186,6464.065761597637
600.0,-3666938.6153282947,4404444.863130497,4211675.907651092,3543.5246489216024,-2743.916715972987,6031.289240911614
700.0,-3292957.943910499,4106198.3131556157,4790397.327686689,3929.065169711488,-3215.3572209984445,5532.643029747247
800.0,-2882599.593058275,3762590.7878512205,5316203.11148069,4270.4263968467985,-3650.3101167375235,4974.013505389076
900.0,-2440467.8805612884,3377511.055304242,5783416.755049386,4563.975606969535,-4044.057980609001,4361.938052762974
1000.0,-1971501.3000680762,2955293.979341217,6187044.205426993,4806.6672042167675,-4392.404048818192,3703.512418048635
1100.0,-1480912.4049997393,2500666.28432712,6522824.853872788,4996.069212312858,-4691.714078183957,3006.293209420436
1200.0,-974125.5138247928,2018688.5941607833,6787272.619400899,5130.3803863106,-4938.948983887937,2278.1975264063203
1300.0,-456713.1618758908,1514694.6689142534,6977706.930802422,5208.43823517442,-5131.688270570596,1527.4016032090344
1400.0,65667.8139162531,994228.7497904007,7092273.596770582,5229.718434387642,-5268.144490105216,762.2402014863396
1500.0,587339.7268098233,462981.8902246597,7129955.718006167,5194.32625933361,-5347.169144047373,-8.891703462444639
1600.0,1102666.2670353805,-73271.89860162965,7090574.938740151,5102.9807829012125,-5368.250597747474,-777.633619589645
1700.0,1606112.8203983346,-608738.9221443846,6974783.455717344,4956.992654386674,-5331.504684295973,-1535.7495310979464
1800.0,2092304.2793431198,-1137667.8028794269,6784047.299337828,4758.236313042805,-5237.658749835175,-2275.2123412076435
1900.0,2556079.832835636,-1654409.5900970586,6520621.474488862,4509.117491881757,-5088.029929134298,-2988.282152416161
2000.0,2992544.305841808,-2153475.4418981485,6187517.598739627,4212.536840052181,-4884.4984449603535,-3667.5779905030026
2100.0,3397115.69961204,-2629591.4205630682,5788464.704935601,3871.850440522718,-4629.476701023244,-4306.142774504448
2200.0,3765568.6582720783,-3077750.017258632,5327863.886343113,3490.8279295130164,-4325.8748911388075,-4897.501503245669
2300.0,4094073.6537828213,-3493258.0911810496,4810737.45829124,3073.608840755638,-3977.0637820655265,-5435.712766622154
2400.0,4379231.73913111,-3871780.9701676215,4242673.2938984465,2624.657706647488,-3586.8352495732,-5915.41379523936
2500.0,4618104.768136496,-4209382.5135343475,3629764.9661822617,2148.718354627274,-3159.3610618184916,-6331.8593353090555
2600.0,4808241.019461233,-4502560.98289258,2978548.297789452,1650.7677451068068,-2699.1503157645075,-6680.954678146667
2700.0,4947696.192658197,-4748280.602895921,2295934.885730811,1135.9696107736947,-2211.005845420589,-6959.283187458133
2800.0,5035049.766096362,-4943998.721594889,1589143.1345762191,609.6280792124595,-1699.9798387695373,-7164.128655801849
2900.0,5069416.721360686,-5087688.499996748,865627.2999574571,77.14139407653147,-1171.3288264993366,-7293.492787615831
3000.0,5050454.647449659,-5177857.0734893745,133005.0169705588,-456.0442035816785,-630.4681426213189,-7346.108053795556
3100.0,4978366.2421726715,-5213559.135168888,-601016.2331907258,-984.4804113477566,-82.9259067776602,-7321.4460959787075
3200.0,4853897.229080198,-5194405.894168718,-1328713.2790654018,-1502.7626200860532,465.7034579131814,-7219.721781538924
3300.0,4678329.707612929,-5120569.362315592,-2042421.603882926,-2005.5754962141673,1009.806178118581,-7041.892926974441
3400.0,4453470.95353146,-4992781.921421422,-2734609.4438148816,-2487.7383924165983,1543.7965656097333,-6789.655622100234
3500.0,4181637.687676698,-4812331.122898636,-3397951.19274119,-2944.250563646387,2062.1649333561077,-6465.435004442648
3600.0,3865635.8352554254,-4581049.672813636,-4025399.6477947263,-3370.3361262505255,2559.5259624177766,-6072.371256744227
3700.0,3508735.8066003616,-4301300.56059535,-4610256.603845764,-3761.488645074885,3030.667444970123,-5614.300534771198
3800.0,3114643.3450430385,-3975957.2999487314,-5146241.273129108,-4113.51516799818,3470.599269073161,-5095.730481907538
3900.0,2687466.009306032,-3608379.2675205856,-5627555.970110754,-4422.579451550228,3874.6024375180677,-4521.809955456341
