Time(sec),rx(m),ry(m),rz(m),vx(m/s),vy(m/s),vz(m/s)
4000.0,2231675.3875829154,-3202382.1497850697,-6048948.463551393,-4685.244037668986,4238.277828313,-3898.292581094643
4100.0,1752065.1788572862,-2762203.542477455,-6405770.360043479,-4898.510753404226,4557.594310822678,-3231.493770142053
4200.0,1253705.324298195,-2292463.790420679,-6694030.848904332,-5059.859116236976,4828.935732656178,-2528.240882269957
4300.0,741892.4276356883,-1798122.2090974364,-6910445.110297207,-5167.282041978995,5049.14619221404,-1795.8162962880942
4400.0,222096.76768584922,-1284428.8927134927,-7052476.670102161,-5219.318174777104,5215.572915144098,-1041.8932649506773
4500.0,-300093.7224250157,-756872.386159047,-7118372.979707066,-5215.080094784662,5326.105965189789,-274.46457625352525
4600.0,-819032.0579097465,-221123.57902699034,-7107193.509789499,-5154.277613980056,5379.213946855666,498.23577822294146
4700.0,-1329072.8551975947,317023.7330812216,-7018829.677308808,-5037.23534974684,5373.974804980325,1267.8175212386777
4800.0,-1824634.422508661,851715.0837103854,-6854015.976870668,-4864.90377413454,5310.100800618254,2025.8249587295845
4900.0,-2300261.597177813,1377099.7388881552,-6614331.763256843,-4638.862978390981,5187.956749042631,2763.832920552409
5000.0,-2750688.566331786,1887396.5507784057,-6302193.23226622,-4361.318470441831,5008.570648753384,3473.5466450617546
5100.0,-3170900.844773611,2376960.460481784,-5920835.272082749,-4035.0884389890944,4773.635913336493,4146.904236192166
5200.0,-3556195.534666025,2840348.775869298,-5474283.005970493,-3663.5820714034908,4485.504542332052,4776.1800968287
5300.0,-3902238.9594708644,3272386.2918703146,-4967313.016702759,-3250.768701018498,4147.170732251431,5354.0875489045875
5400.0,-4205120.752862236,3668228.2805855847,-4405404.429949505,-2801.137777899836,3762.244631451997,5873.878701912795
5500.0,-4461403.494649555,4023420.3604579424,-3794680.232802599,-2319.6498984658892,3334.9161771220406,6329.439539369193
5600.0,-4668167.021957328,4333954.260322241,-3141839.4085301724,-1811.6793841811136,2869.909211087071,6715.378167239217
5700.0,-4823046.605829325,4596318.527367955,-2454080.672473438,-1282.9491569575512,2372.426343288493,7027.10421655437
5800.0,-4924264.270714621,4807543.288666657,-1739018.7891530148,-739.458906806943,1848.0853056958272,7260.89751782839
5900.0,-4970652.645379926,4965238.263479035,-1004594.629424253,-187.4077732667472,1302.8478021878382,7413.964366613089
6000.0,-4961670.865879758,5067623.336292567,-258980.28150669823,366.88704574943256,742.9420985023977,7484.479972275232
6100.0,-4897412.20037487,5113551.1354036825,489519.34573703865,917.0741963210079,174.78079837247174,7471.616016070771
6200.0,-4778603.226936502,5102521.214640324,1232566.9002526389,1456.8529258715132,-395.12459326454825,7375.552626124501
6300.0,-4606594.563422857,5034685.60136126,1961893.369147712,1980.0570027761587,-960.2506198320607,7197.474489127637
6400.0,-4383343.317082501,4910845.646330263,2669397.683283157,2480.736129688377,-1514.148596722247,6939.5512425293155
6500.0,-4111387.58469077,4732440.284262454,3347243.596764918,2953.2332657112174,-2050.5293940306815,6604.902707045234
6600.0,-3793813.4860145967,4501525.981601384,3987952.3697335985,3392.2564110824014,-2563.344647839338,6197.5499083561845
6700.0,-3434215.3490990903,4220748.804593614,4584489.895411813,3792.9435938356505,-3046.862909052354,5722.353181730862
6800.0,-3036649.781036462,3893309.1808477817,5130347.056602154,4150.920020880497,-3495.73942538094,5184.938939797698
6900.0,-2605584.4493721854,3522920.047106943,5619612.266343715,4462.346604376538,-3905.078475149253,4591.616901471203
7000.0,-2145842.4652029653,3113759.1718695993,6047035.335024005,4723.959335630722,-4270.48741914911,3949.289723110384
7100.0,-1662543.2986616455,2670416.5119466884,6408082.004321729,4933.099240551508,-4588.121896207615,3265.357039818142
7200.0,-1161041.1714103124,2197837.5064736395,6698978.689402128,5087.732901357323,-4854.721847109837,2547.6159180912914
7300.0,-646861.8606066443,1701263.2309308436,6916747.167740622,5186.463758704241,-5067.6382987288025,1804.159647227843
7400.0,-125638.81710921862,1186168.3290385818,7059229.139550485,5228.534608643183,-5224.851065990802,1043.2766653840304
7500.0,396950.54932723026,658197.614525161,7125100.75582527,5213.821874129125,-5324.977726050264,273.35123842069515
7600.0,915247.6297671106,123102.19090711267,7113877.361478212,5142.822357873915,-5367.274381468723,-497.232701689751
7700.0,1423673.7080157283,-413324.1208324281,7025908.8302528635,5016.63327115697,-5351.628854325227,-1260.183384223318
7800.0,1916788.7542953163,-945307.3256425813,6862365.973544124,4836.926382847544,-5278.547040273592,-2007.387758622595
7900.0,2389347.3756398438,-1467154.123566629,6625218.5867428,4605.917147134086,-5149.133201792858,-2730.9920883755167
8000.0,2836351.4632108654,-1973310.5383539163,6317205.75498055,4326.3296514067315,-4965.064996037283,-3423.476108398352
8100.0,3253099.1589109763,-2458417.818284793,5941799.076856282,4001.358182406276,-4728.56401877563,-4077.720479391056
8200.0,3635229.8404268655,-2917365.198350225,5503159.482196277,3634.626144647248,-4442.362606723292,-4687.067451570566
8300.0,3978764.8933761492,-3345339.184342027,5006088.320944595,3230.142985901482,-4109.667581364145,-5245.374799307632
8400.0,4280144.100327475,-3737869.084126294,4455973.387995063,2792.2596957046544,-3734.1215435009462,-5747.063205461278
8500.0,4536257.528412573,-4090868.5681898915,3858730.5263815746,2325.6233495672986,-3319.762244491235,-6187.157359166936
8600.0,4744472.839842437,-4400673.089773385,3220741.42193657,1835.1310784600694,-2870.9804723110474,-6561.321084356636
8700.0,4902657.983100714,-4664073.0343057485,2548788.1693640975,1325.8837542191961,-2392.476802664873,-6865.886840293696
8800.0,5009199.247508696,-4878342.498624433,1849985.1554751825,803.1396001585869,-1889.217481209413,-7097.879932610744
8900.0,5063014.681136679,-5041263.623146667,1131708.7726184307,272.26786512114836,-1366.3896258951536,-7255.037747042403
9000.0,5063562.882818333,-5151146.415605214,401525.4462767048,-261.2973594055501,-829.355871207849,-7335.824271922852
9100.0,5010847.184636581,-5206844.014273843,-332881.5628208285,-792.1031440539808,-283.60852093666324,-7339.440113497009
9200.0,4905415.243153888,-5207763.343081922,-1063786.138515397,-1314.7235426026518,265.2767652564578,-7265.828134237649
9300.0,4748354.057406135,-5153871.112102137,-1783493.63639668,-1823.8052372963107,811.6877524505916,-7115.674762813346
9400.0,4541280.430861305,-5045695.116146857,-2484415.1243984676,-2314.113014118633,1350.0228895364176,-6890.406939302664
9500.0,4286326.894760581,-4884320.783251554,-3159141.09498746,-2780.5750554195147,1874.7390518541906,-6592.184574917831
9600.0,3986123.113075047,-4671382.925310775,-3800514.1910194755,-3218.3280036925835,2380.3997498059384,-6223.888326130063
9700.0,3643772.796217761,-4409052.646705041,-4401700.46372443,-3622.7617022761056,2861.7237469282536,-5789.10241293656
9800.0,3262826.1630253843,-4100019.3750024755,-4956258.651291411,-3989.563457682685,3313.6339765498356,-5292.092154322352
9900.0,2847248.009582047,-3747467.992221728,-5458206.931714484,-4314.7615960007815,3731.3065776324893,-4737.7758549308
